Question,# of respondents ,parent_code_id,# of parent code,% of total interviewees,Parent_code_name,Parent_code_definition,subcode_number,subcode_name,subcode_definition,# subcode respondents ,% of  subcode per parent code respondents,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC3,39,97.50%,Peer-to-Peer and Community-Based Support,"relational and collective aspect of harm reduction, where support and knowledge are shared within a community framework. It highlights the importance of shared experience and mutual aid",4,Collective Knowledge Base,Freely shared and evolving body of information maintained by knowledgeable members and peer exchange,35,89.74%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC3,39,97.50%,Peer-to-Peer and Community-Based Support,"relational and collective aspect of harm reduction, where support and knowledge are shared within a community framework. It highlights the importance of shared experience and mutual aid",5,Large-Scale Events,"Congresses, symposiums, art and book events tied to psychedelic safety and culture",11,28.21%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC4,40,100.00%,Specialized & Contextual Approaches,Tailored harm reduction efforts addressing unique needs or broader social context,1,Neurodivergence Resources,"Guides on sensory-friendly environments, meltdown management, and inclusion",1,2.50%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC4,40,100.00%,Specialized & Contextual Approaches,Tailored harm reduction efforts addressing unique needs or broader social context,2,Cross-Substance Awareness,Linking psychedelic harm reduction with other substances and broader socio-political contexts,30,75.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC4,40,100.00%,Specialized & Contextual Approaches,Tailored harm reduction efforts addressing unique needs or broader social context,3,Medical & Ethical Considerations,"Guidance on contraindications, medical referrals, addressing facilitator abuse, promoting ethics in psychedelic spaces",38,95.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC1,5,100.00%,Community-Led Harm Reduction Services,"direct, peer-based, and practical resources that a community offers to support its members' well-being during and after a psychedelic experience",1,Trip Management Resources,Guides to recognizing and managing “bad trips” (,2,40.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC1,5,100.00%,Community-Led Harm Reduction Services,"direct, peer-based, and practical resources that a community offers to support its members' well-being during and after a psychedelic experience",2,Online & Social Media Dissemination,"Sharing via online platforms, social media groups, or community meetups",5,100.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC1,5,100.00%,Community-Led Harm Reduction Services,"direct, peer-based, and practical resources that a community offers to support its members' well-being during and after a psychedelic experience",3,Trip Sitting / Peer Guidance,Experienced individuals supporting new users during psychedelic experiences,4,80.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC1,5,100.00%,Community-Led Harm Reduction Services,"direct, peer-based, and practical resources that a community offers to support its members' well-being during and after a psychedelic experience",4,Community Circles / Networks,"Informal groups providing advice, listening, and safety support",4,80.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC1,5,100.00%,Community-Led Harm Reduction Services,"direct, peer-based, and practical resources that a community offers to support its members' well-being during and after a psychedelic experience",5,Safe Spaces and Crisis Management,"practice of setting up designated ""chill-out"" areas or safe spaces at events where individuals who are feeling overwhelmed can recover with the help of trained staff",2,40.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC2,4,80.00%,Gaps & Limitations in Resources,"Student-reported absence, inadequacy, or structural barriers to accessing harm reduction information",1,Lack of Local Infrastructure,Few or no psychedelic harm reduction resources available in certain regions,3,75.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC2,4,80.00%,Gaps & Limitations in Resources,"Student-reported absence, inadequacy, or structural barriers to accessing harm reduction information",2,Legal Barriers,Illegality discouraging open acknowledgment and resource development,3,75.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC2,4,80.00%,Gaps & Limitations in Resources,"Student-reported absence, inadequacy, or structural barriers to accessing harm reduction information",3,Reliance on Inadequate Source,"Students defaulting to high school health education, movies, forums, or trial and error",4,100.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,4,Q22_SSDP_PC2,4,80.00%,Gaps & Limitations in Resources,"Student-reported absence, inadequacy, or structural barriers to accessing harm reduction information",4,Missed Opportunities for Public Education,Desire for smoke shops or legal vendors to provide harm reduction materials.,1,25.00%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC1,40,100.00%,Peer-to-Peer and Collective Wisdom,reliance on human-to-human interaction and shared knowledge within a community.,1,Storytelling and Lived Experience,"practice of sharing personal stories and lived experiences, both good and bad, as a fundamental way to exchange collective wisdom and inform others",15,37.50%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC1,40,100.00%,Peer-to-Peer and Collective Wisdom,reliance on human-to-human interaction and shared knowledge within a community.,2,Face-to-Face Gatherings,"Circles, society meetings, and in-person events as venues for education and support",30,75.00%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC1,40,100.00%,Peer-to-Peer and Collective Wisdom,reliance on human-to-human interaction and shared knowledge within a community.,3,Community-Based Guidance,"The reliance on local community leaders, meeting facilitators, and experienced members for real-time advice, guidance, and peer-to-peer support",37,92.50%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC1,40,100.00%,Peer-to-Peer and Collective Wisdom,reliance on human-to-human interaction and shared knowledge within a community.,4,Organizational & Structured Programs,Use of formal harm reduction services and training offered by established groups.,28,70.00%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC1,40,100.00%,Peer-to-Peer and Collective Wisdom,reliance on human-to-human interaction and shared knowledge within a community.,5,Online Knowledge Repositories,"Digital sources widely consulted for trip reports, dosing information, and harm reduction practices",37,92.50%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC2,31,77.50%,Internal and Self-Developed Resources,communities create their own resources to fill gaps not addressed by mainstream sources,1,Locally Produced Materials,"Community-developed guides, wikis, or documents addressing specific needs",24,77.42%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC2,31,77.50%,Internal and Self-Developed Resources,communities create their own resources to fill gaps not addressed by mainstream sources,2,Translation & Adaptation,Making global resources linguistically/culturally relevant,3,9.68%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC2,31,77.50%,Internal and Self-Developed Resources,communities create their own resources to fill gaps not addressed by mainstream sources,3,Neurodivergence-Specific Resources,"Tailored guides addressing sensory needs, meltdown management, and inclusive integration practices",1,3.23%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC2,31,77.50%,Internal and Self-Developed Resources,communities create their own resources to fill gaps not addressed by mainstream sources,4,Formalized Peer Training,"use of structured training programs and courses to teach community members skills in harm reduction, peer support, and trip-sitting",22,70.97%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC3,40,100.00%,Digital and External Platforms,use of public-facing online resources and external organizations,1,Public Databases and Forums,"heavy use of widely known online resources and public forums that contain a vast collection of user-submitted trip reports, dosing guides, and harm reduction advice",21,52.50%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC3,40,100.00%,Digital and External Platforms,use of public-facing online resources and external organizations,2,Specialized Organizational Resources,"use of resources from established, non-profit organizations and specialized groups dedicated to psychedelic research and harm reduction",34,85.00%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC3,40,100.00%,Digital and External Platforms,use of public-facing online resources and external organizations,3,Publications and Media,use of information from a variety of published sources,21,52.50%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC4,36,90.00%,Barriers & Informal Reliance,Recognition of limitations in available resources and fallback to less formal or accessible sources.,1,Scattered Resources,"Reliance on a wide mix of online videos, books, and peer sharing due to lack of centralized material",32,88.89%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC4,36,90.00%,Barriers & Informal Reliance,Recognition of limitations in available resources and fallback to less formal or accessible sources.,2,Limited Awareness,Some community members unaware of what resources exist or how to access them,12,33.33%,,,,,,,
What psychedelic harm reduction information or resources does your community most often use?,40,Q23_PC4,36,90.00%,Barriers & Informal Reliance,Recognition of limitations in available resources and fallback to less formal or accessible sources.,3,Default to Informal Sources,"Trial-and-error learning, movie portrayals, or general drug awareness content when better tools are absent",7,19.44%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC1,39,97.50%,Foundational Knowledge and Practical Skills,"Fundamental, hands-on information and training that would empower individuals to use psychedelics more safely and responsibly",1,General Drug Education,"need for basic, science-based information on psychedelics, including details on specific substances, proper dosing, physiological and psychological effects, and potential drug interactions",37,94.87%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC1,39,97.50%,Foundational Knowledge and Practical Skills,"Fundamental, hands-on information and training that would empower individuals to use psychedelics more safely and responsibly",2,Accurate Sourcing & Content,"Knowledge about what is actually in store-bought psychedelics (e.g., branded products) and their origins",31,79.49%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC2,38,95.00%,"Preparation, Screening & Risk Assessment",Resources to help individuals assess readiness and reduce risks before psychedelic use.,1,Vetting and Accountability,"Information on how to find, screen, and vet a safe and ethical facilitator",31,81.58%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC2,38,95.00%,"Preparation, Screening & Risk Assessment",Resources to help individuals assess readiness and reduce risks before psychedelic use.,2,Neurodiversity-Inclusive Screening,"Tailored protocols for sensory sensitivities, meltdown management, and boundary-setting for neurodivergent users",1,2.63%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC2,38,95.00%,"Preparation, Screening & Risk Assessment",Resources to help individuals assess readiness and reduce risks before psychedelic use.,3,Boundary Setting,"Guidance on consent, safe touch, and space-holding during ceremonies",11,28.95%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC2,38,95.00%,"Preparation, Screening & Risk Assessment",Resources to help individuals assess readiness and reduce risks before psychedelic use.,4,Physical Health Considerations,"Interactions with prescription drugs, contraindications, and health risks for older/medicated populations",15,39.47%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC2,38,95.00%,"Preparation, Screening & Risk Assessment",Resources to help individuals assess readiness and reduce risks before psychedelic use.,5,Mental Health Screening,"Assessing psychiatric history, vulnerability, and suitability for use",11,28.95%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC3,39,97.50%,Harm Reduction Practices & Crisis Management,Skills and training to prevent or respond to challenging experiences.,1,Responding to Difficult Experience,"How to support someone during a “bad trip,” grounding and de-escalation techniques",30,76.92%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC3,39,97.50%,Harm Reduction Practices & Crisis Management,Skills and training to prevent or respond to challenging experiences.,2,Challenging Ceremony Contexts,Education around risks in ceremonial/underground contexts and strategies to mitigate adverse outcomes,35,89.74%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC3,39,97.50%,Harm Reduction Practices & Crisis Management,Skills and training to prevent or respond to challenging experiences.,3,Emergency Response,When to call for medical help and basic first aid,9,23.08%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC4,38,95.00%,Integration & Ongoing Support,Post-experience education to help individuals process and apply psychedelic insights,1,Integration Practices,Structured approaches to processing experiences emotionally and psychologically.,29,76.32%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC4,38,95.00%,Integration & Ongoing Support,Post-experience education to help individuals process and apply psychedelic insights,2,Community Integration Circles,Training facilitators for safe group integration spaces.,15,39.47%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC4,38,95.00%,Integration & Ongoing Support,Post-experience education to help individuals process and apply psychedelic insights,3,Therapist Involvement,Encouraging therapists and professionals to openly discuss psychedelic experiences with clients,8,21.05%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC4,38,95.00%,Integration & Ongoing Support,Post-experience education to help individuals process and apply psychedelic insights,4,Mentorship & Apprenticeship,Supportive professional communities for those entering facilitation or psychedelic work,6,15.79%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC5,34,85.00%,Facilitator Ethics & Accountability,Tools and systems to ensure safety in facilitator-led experiences,1,Reporting Systems for Misconduct,"Anonymous reporting systems, peer advisory panels, and external licensing/ethics channels",18,52.94%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC5,34,85.00%,Facilitator Ethics & Accountability,Tools and systems to ensure safety in facilitator-led experiences,2,Legal Consultation Resources,Guidance on rights and appropriate channels for reporting unsafe facilitators,7,20.59%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC5,34,85.00%,Facilitator Ethics & Accountability,Tools and systems to ensure safety in facilitator-led experiences,3,Partnerships with Organizations,Collaboration to reinforce accountability standards.,29,85.29%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC6,37,92.50%,"Policy, Legal & Structural Education",Broader frameworks needed to expand harm reduction beyond niche communities.,1,Legal Landscape Education,"Current state laws, decriminalization efforts, and safe access pathways.",21,56.76%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC6,37,92.50%,"Policy, Legal & Structural Education",Broader frameworks needed to expand harm reduction beyond niche communities.,2,Drug Policy Reform,"Advocacy for ending the drug war and legal, regulated access to reduce harm",17,45.95%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC6,37,92.50%,"Policy, Legal & Structural Education",Broader frameworks needed to expand harm reduction beyond niche communities.,3,Good Samaritan & Rights Education,Information on protections when seeking help in emergencies.,3,8.11%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC6,37,92.50%,"Policy, Legal & Structural Education",Broader frameworks needed to expand harm reduction beyond niche communities.,4,Expanding Public Awareness,Moving beyond psychedelic communities to educate the wider public on harm reduction,28,75.68%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC7,37,92.50%,Formats & Channels of Delivery,The mediums respondents want to see used for education.,1,Pamphlets & Easy One-Sheets,"Concise, accessible printed or digital handouts",14,37.84%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC7,37,92.50%,Formats & Channels of Delivery,The mediums respondents want to see used for education.,2,Videos & YouTube Content,"Short, engaging, easy-to-understand video explainers",7,18.92%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC7,37,92.50%,Formats & Channels of Delivery,The mediums respondents want to see used for education.,3,Workshops & Community Events,"Brunches, monthly Q&A sessions, and live trainings.",33,89.19%,,,,,,,
What kinds of information or education do you think would improve the safety and wellbeing of your community?,39,Q24_PC7,37,92.50%,Formats & Channels of Delivery,The mediums respondents want to see used for education.,4,University & Academic Programs,"Courses, research funding, and inclusion in formal education.",11,29.73%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC1,23,57.50%,Drug Safety & Testing Services,Services that provide direct means of ensuring substances are safe to use.,1,Drug Checking Access," more testing stations at festivals, public facilities, community meetings",14,60.87%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC1,23,57.50%,Drug Safety & Testing Services,Services that provide direct means of ensuring substances are safe to use.,2,Testing Tools Distribution,"Reagent kits, fentanyl/nitazene test strips, anonymous test services",15,65.22%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC2,39,97.50%,Preparation & Integration Support,Services that help individuals prepare for and integrate psychedelic experiences.,1,Integration Circles,"Community or focus-group integration sessions, sometimes neurodivergent-adapted",30,76.92%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC2,39,97.50%,Preparation & Integration Support,Services that help individuals prepare for and integrate psychedelic experiences.,2,Preparation Guidance,Education and 1:1 or group prep sessions before use.,29,74.36%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC3,38,95.00%,Harm Reduction & Crisis Response,Services that help prevent or manage acute risks during psychedelic use.,1,Crisis Hotlines & Helplines,"Hotlines like Fireside, local adaptations, or trip support phone lines",21,55.26%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC3,38,95.00%,Harm Reduction & Crisis Response,Services that help prevent or manage acute risks during psychedelic use.,2,Safe Spaces at Events,"Peer support tents, calm spaces, and dedicated sitters available at festivals or society events.",15,39.47%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC3,38,95.00%,Harm Reduction & Crisis Response,Services that help prevent or manage acute risks during psychedelic use.,3,Psychedelic-Specific Training,"Adverse reaction management for clinicians, addiction workers, and volunteers; “Psychedelic Red Flags 101”; trip sitter training",29,76.32%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC4,37,92.50%,Accountability & Ethical Safeguards,Mechanisms for ensuring facilitator safety and addressing misconduct.,1,Psychedelic-Friendly Therapists & Doctors,Directories and referral systems for safe professionals,4,10.81%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC4,37,92.50%,Accountability & Ethical Safeguards,Mechanisms for ensuring facilitator safety and addressing misconduct.,2,Referral Lists,Vetted databases or practitioner lists with transparent descriptions of specialties/approaches.,8,21.62%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC4,37,92.50%,Accountability & Ethical Safeguards,Mechanisms for ensuring facilitator safety and addressing misconduct.,3,Facilitator Vetting Guidance,Education on how to identify safe vs. unsafe facilitators,20,54.05%,,,,,,,
What kind of support services do you think would improve the safety and wellbeing of your community?,40,Q25_PC4,37,92.50%,Accountability & Ethical Safeguards,Mechanisms for ensuring facilitator safety and addressing misconduct.,4,Ethics & Accountability Processes,"Systems to report unsafe facilitators, mediate conflicts, and hold practitioners accountable without legal repercussions.",28,75.68%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC1,17,42.50%,Sexual Misconduct ,"Facilitators engaging in inappropriate, coercive, or exploitative sexual behavior with participants.",1,Nonconsensual Touch / Sexual Advances,"Unwanted sexual contact during ceremony, persuading women into intimacy, lap-sitting during ayahuasca",11,64.71%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC1,17,42.50%,Sexual Misconduct ,"Facilitators engaging in inappropriate, coercive, or exploitative sexual behavior with participants.",2,Sexual Relationships with Clients,"Therapists/facilitators dating participants, post-ceremony persuasion into romantic/sexual relations",6,35.29%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC2,17,42.50%,"Power, Ego, & Exploitation Dynamics","Facilitators abusing authority, positioning themselves as gurus or shamans, or exploiting participants’ trust.",1,God Complex / Savior Complex,"Leaders framing themselves as all-powerful healers, gatekeeping access, narcissistic tendencies",13,76.47%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC2,17,42.50%,"Power, Ego, & Exploitation Dynamics","Facilitators abusing authority, positioning themselves as gurus or shamans, or exploiting participants’ trust.",2,Spiritual Gaslighting,Manipulating participants with spiritual language to justify control.,5,29.41%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC2,17,42.50%,"Power, Ego, & Exploitation Dynamics","Facilitators abusing authority, positioning themselves as gurus or shamans, or exploiting participants’ trust.",3,Financial Exploitation,"Extractive practices for profit, coercing clients into continued financial dependency.",8,47.06%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC3,39,97.50%,"Lack of Screening, Training & Competence",Insufficient professional training or participant screening leading to unsafe practices.,1,Failure to Screen Health Risks,lack of screening for contraindications and Mixing Incompatible Substances,18,46.15%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC3,39,97.50%,"Lack of Screening, Training & Competence",Insufficient professional training or participant screening leading to unsafe practices.,2,Untrained Facilitators,"People with no lineage, training, or knowledge leading ceremonies",32,82.05%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC3,39,97.50%,"Lack of Screening, Training & Competence",Insufficient professional training or participant screening leading to unsafe practices.,3,No Standardized Training/Qualifications,"Lack of formal standards for crisis management, psychological care.",30,76.92%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC4,36,90.00%,Informed Consent & Transparency Failures,Not providing full disclosure or obtaining genuine consent from participants.,1,Undisclosed Substances / Dosage,Administering untested or undisclosed psychedelics.,25,69.44%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC4,36,90.00%,Informed Consent & Transparency Failures,Not providing full disclosure or obtaining genuine consent from participants.,2,Withholding Risks & Side Effects,"Not explaining potential outcomes, adverse effects, or addictive tendencies",9,25.00%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC4,36,90.00%,Informed Consent & Transparency Failures,Not providing full disclosure or obtaining genuine consent from participants.,3,No Oversight / Reputation System,Lack of independent adjudication or ethical scoring processes,25,69.44%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC4,36,90.00%,Informed Consent & Transparency Failures,Not providing full disclosure or obtaining genuine consent from participants.,4,Legal Risks Block Reporting,Participants unable to report misconduct due to prohibition/legal fear,11,30.56%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC5,29,72.50%,"Psychological, Emotional, & Spiritual Harm","Harm caused through manipulation, neglect, or unsafe spiritual framing.",1,Neglect Post-Ceremony,Lack of integration support after destabilizing experiences.,27,93.10%,,,,,,,
Please describe some of these safety or ethical challenges with psychedelic facilitators,29,Q26a_PC5,29,72.50%,"Psychological, Emotional, & Spiritual Harm","Harm caused through manipulation, neglect, or unsafe spiritual framing.",2,Spiritual Manipulation,"Forcing unwarranted spiritual interpretations, distorting journeys.",11,37.93%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC1,39,97.50%,Internal Community Responses,"Handling concerns within the community itself through discussion, support, or informal processes",1,Peer Dialogue & Group Discussion,"Talking face-to-face, in group meetings, or via community circles to process issues.",31,79.49%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC1,39,97.50%,Internal Community Responses,"Handling concerns within the community itself through discussion, support, or informal processes",2,Spreading Word-of-Mouth Warnings,"Informally warning others, discouraging participation with unsafe facilitators.",13,33.33%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC1,39,97.50%,Internal Community Responses,"Handling concerns within the community itself through discussion, support, or informal processes",3,Private Reporting to Leaders,Approaching community leaders or organizers to share concerns.,12,30.77%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC1,39,97.50%,Internal Community Responses,"Handling concerns within the community itself through discussion, support, or informal processes",4,Accountability Gatherings,Structured community-led meetings (sometimes with allies for both harmed and accused parties) to discuss and evaluate harms.,10,25.64%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC1,39,97.50%,Internal Community Responses,"Handling concerns within the community itself through discussion, support, or informal processes",5,Online and Public Discourse,"community uses online forums, social media, and public events to share information, hold discussions, and raise awareness about ethical concerns",35,89.74%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC2,38,95.00%,Support for Victims,"Centering care for those harmed, offering resources and solidarity",1,Direct Support & Care,"Providing emotional support, respect for victim choices, peer solidarity.",34,89.47%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC2,38,95.00%,Support for Victims,"Centering care for those harmed, offering resources and solidarity",2,Victim Support Networks,Creating dedicated meetings or forums for victims to share experiences.,11,28.95%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC2,38,95.00%,Support for Victims,"Centering care for those harmed, offering resources and solidarity",3,Referrals to Support Services,"Connecting victims with legal contacts, therapists, or harm reduction groups.",27,71.05%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC3,28,70.00%,Avoidance & Disengagement,"Choosing not to engage directly, but distancing from unsafe facilitators.",1,Disengagement from Facilitators,Quietly moving on to other practitioners,5,17.86%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC3,28,70.00%,Avoidance & Disengagement,"Choosing not to engage directly, but distancing from unsafe facilitators.",2,Not Speaking Up,"Many do not report at all; silence due to fear, stigma, or lack of recourse",9,32.14%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC3,28,70.00%,Avoidance & Disengagement,"Choosing not to engage directly, but distancing from unsafe facilitators.",3,Recognition of No Pathways,Admitting there is no viable infrastructure or governance for resolution,24,85.71%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC4,36,90.00%,Structural Limitations & Barriers,Acknowledgement of the systemic gaps that prevent effective resolution,1,Criminalization & Legal Risks,Fear of prohibition stopping people from reporting or seeking justice,17,47.22%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC4,36,90.00%,Structural Limitations & Barriers,Acknowledgement of the systemic gaps that prevent effective resolution,2,Lack of Infrastructure,"No governing bodies, no accountability systems, victims left without recourse",31,86.11%,,,,,,,
"When faced with a safety or ethical challenge with a psychedelic facilitator, how do members of your community respond or seek resolution?",28,Q26b_PC4,36,90.00%,Structural Limitations & Barriers,Acknowledgement of the systemic gaps that prevent effective resolution,3,Power Dynamics / Risk of Retaliation,Fear of social or economic retaliation by powerful facilitators,14,38.89%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC1,40,100.00%,Formal Accountability and Oversight Mechanisms,requested systems and infrastructure for formally vetting facilitators and reporting ethical or safety issues,1,Public “Bad Actor” Lists,Databases of reported facilitators,4,10.00%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC1,40,100.00%,Formal Accountability and Oversight Mechanisms,requested systems and infrastructure for formally vetting facilitators and reporting ethical or safety issues,2,Confidential Reporting Hotlines/Portals,Anonymous or secure systems to report unethical behavior without fear of reprisal,7,17.50%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC1,40,100.00%,Formal Accountability and Oversight Mechanisms,requested systems and infrastructure for formally vetting facilitators and reporting ethical or safety issues,3,Independent Governing and Ethics Bodies,"an impartial, third-party group or a governing body that can mediate conflicts, review complaints, and establish standards",18,45.00%,,,,,,,
What additional resources or support services would help your community avoid or respond to these safety and ethical challenges with psychedelic facilitators?,28,Q26c_PC1,40,100.00%,Formal Accountability and Oversight Mechanisms,requested systems and infrastructure for formally vetting facilitators and reporting ethical or safety issues,4,Training & Professional Standards for Facilitators,Structured education and certification to raise competency and safety,33,82.50%,,,,,,,
